NIU,PERSO_JUR,REGIME_2022,PROFIL_2022,CENTRE_2022,CRI_2022,QUAL_NIU_2022,LOG_CA_2022,LOG_CA_EXP_2022,LOG_VAL_EXP_2022,LOG_VAL_IMP_2022,RATIO_EXP_CA_2022,RATIO_IMP_CA_2022,ECART_EXP_DOUANE_2022,RATIO_ECART_2022,EVOL_CA_2122,INTENSITE_EXP_2022,INTENSITE_IMP_2022,NIU_MAUVAIS,SCORE_FICH_2022,SCORE_DEV_2022,SCORE_RCA_2022,FRAUDE_2022
34,Personne physique,RSI,C,CDI,CRIL2,Bon,0.0,0.0,18.179527245280674,0.0,0.0,0.0,78572100.0,78572100.0,0.0,1,0,0,1,2,0,1
35,Personne morale,RSI,C,CDI,CRIL2,Bon,0.0,0.0,19.6859390650673,0.0,0.0,0.0,354400810.0,354400810.0,0.0,1,0,0,0,2,0,1
36,Personne morale,RSI,C,CDI,CRINO,Bon,0.0,0.0,18.187251197706104,0.0,0.0,0.0,79181337.0,79181337.0,0.0,1,0,0,1,2,0,1
37,Personne morale,RSI,C,CDI,CRISO,Bon,0.0,0.0,18.303810163132425,0.0,0.0,0.0,88970032.0,88970032.0,0.0,1,0,0,1,2,0,1
38,Personne morale,REEL,C,CIME,CRIA,Bon,0.0,0.0,19.00337280894623,0.0,0.0,0.0,179085303.0,179085303.0,0.0,1,0,0,0,2,0,1
39,Personne morale,REEL,C,CIME,CRIC1,Bon,0.0,0.0,19.19425979183802,0.0,0.0,0.0,216751000.0,216751000.0,0.0,1,0,0,0,1,0,1
40,Personne physique,REEL,C,CIME,CRIC1,Bon,0.0,0.0,19.641055927748965,0.0,0.0,0.0,338845878.0,338845878.0,0.0,1,0,0,0,1,0,1
41,Personne physique,REEL,C,CIME,CRIC1,Bon,0.0,0.0,21.192019029096443,0.0,0.0,0.0,1598000550.0,1598000550.0,0.0,1,0,0,1,1,0,1
42,Personne morale,REEL,C,CIME,CRIC1,Bon,0.0,0.0,19.071278824820844,0.0,0.0,0.0,191668681.0,191668681.0,0.0,1,0,0,0,2,0,1
43,Personne physique,REEL,C,CIME,CRIC1,Bon,0.0,0.0,17.986055563499324,0.0,0.0,0.0,64750731.0,64750731.0,0.0,1,0,0,0,2,0,1
44,Personne morale,REEL,C,CIME,CRIC2,Bon,0.0,0.0,21.300869390065095,0.0,0.0,0.0,1781763408.0,1781763408.0,0.0,1,0,0,0,2,0,1
45,Personne morale,REEL,C,CIME,CRIC2,Bon,0.0,0.0,20.97406999083726,0.0,0.0,0.0,1285058385.0,1285058385.0,0.0,1,0,0,0,2,0,1
46,Personne physique,REEL,C,CIME,CRIE,Bon,0.0,0.0,18.45812103655873,0.0,0.0,0.0,103815000.0,103815000.0,0.0,1,0,0,1,1,0,1
47,Personne morale,REEL,C,CIME,CRIE,Bon,0.0,0.0,18.585120478023338,0.0,0.0,0.0,117873252.0,117873252.0,-0.9999999341953782,1,0,0,0,2,0,1
48,Personne morale,REEL,C,CIME,CRIE,Bon,0.0,0.0,21.071398118123195,0.0,0.0,0.0,1416419602.0,1416419602.0,0.0,1,0,0,0,2,0,1
49,Personne morale,HRI,C,CIME,CRIEN,Bon,0.0,0.0,18.176377407569845,0.0,0.0,0.0,78325000.0,78325000.0,0.0,1,0,0,1,1,0,1
50,Personne physique,REEL,C,CIME,CRIEN,Bon,0.0,0.0,22.457785317124998,0.0,0.0,0.0,5666204425.0,5666204425.0,0.0,1,0,0,0,2,0,1
51,Personne morale,REEL,C,CIME,CRIL1,Bon,0.0,0.0,18.019768082715295,0.0,0.0,0.0,66970854.0,66970854.0,0.0,1,0,0,0,1,0,1
52,Personne morale,REEL,C,CIME,CRIL1,Bon,0.0,0.0,18.328690140253492,0.0,0.0,0.0,91211371.0,91211371.0,0.0,1,0,0,0,1,0,1
53,Personne morale,REEL,C,CIME,CRIL1,Bon,0.0,0.0,19.87348950100792,0.0,0.0,0.0,427510539.0,427510539.0,0.0,1,0,0,1,1,0,1
54,Personne morale,HRI,C,CIME,CRIL1,Bon,0.0,0.0,18.006766774521292,0.0,0.0,0.0,66105781.0,66105781.0,0.0,1,0,0,1,1,0,1
55,Personne physique,REEL,C,CIME,CRIL1,Bon,0.0,0.0,18.938517388970926,0.0,0.0,0.0,167839275.0,167839275.0,0.0,1,0,0,2,1,0,1
56,Personne morale,REEL,C,CIME,CRIL1,Bon,0.0,0.0,18.0709785339048,0.0,0.0,0.0,70489796.0,70489796.0,0.0,1,0,0,0,2,0,1
57,Personne physique,REEL,C,CIME,CRIL1,Bon,0.0,0.0,19.421303767603405,0.0,0.0,0.0,271997590.0,271997590.0,0.0,1,0,0,0,2,0,1
58,Personne morale,REEL,C,CIME,CRIL1,Bon,0.0,0.0,18.304257966475202,0.0,0.0,0.0,89009882.0,89009882.0,0.0,1,0,0,0,2,0,1
59,Personne morale,REEL,C,CIME,CRIL1,Bon,0.0,0.0,17.892262523971457,0.0,0.0,0.0,58953674.0,58953674.0,0.0,1,0,0,0,2,0,1
60,Personne morale,REEL,C,CIME,CRIL1,Bon,0.0,0.0,18.617605486631284,0.0,0.0,0.0,121765239.0,121765239.0,0.0,1,0,0,0,2,0,1
